species_name,Output_name,中文名,生活型,株,茎,枝,叶,花,果,种子,国内产地,国外分布,特有性,生境,海拔,物候期
Sedum longifuniculatum,Sedum longifuniculatum K. T. Fu,长珠柄景天,一年生草本，无毛；,NA,NA,NA,叶线状长圆形，最下部的最小，长3-12毫米，有短距，先端钝；,花茎直立或近拱形，高5-12厘米，不分枝或基部分枝；,NA,种子倒卵形，长1.1-1.4毫米，有小乳头状突起，具长珠柄；,四川西北部；,NA,NA,山顶上；,4200m；,花期8月，果期8-9月；
Sedum longyanense,Sedum longyanense K. T. Fu,浪岩景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum luchuanicum,Sedum luchuanicum K. T. Fu,禄劝景天,一年生草本，无毛；,NA,NA,NA,叶钻形、线状披针形或狭三角状披针形，最下的最小，长1-7毫米，有宽而3浅裂或截形的距，先端渐尖，3-5脉，沿脉两侧有褐色斑点；,花茎直立，高5-9厘米，自基部分枝；,NA,种子倒卵形，长1.2-1.4毫米，有少数乳头状突起；,云南；,NA,NA,石隙中；,4400m；,花期9-10月，果期11月；
Sedum lungtsuanense,Sedum lungtsuanense S. H. Fu,龙泉景天,一年生草本；,NA,NA,NA,叶互生，基部有不显著的距，匙形，长7-9毫米，宽2.2-3毫米，先端急尖，基部渐狭，被疏柔毛；花梗短；萼片5，匙形，长2毫米，宽0.8-1毫米，先端急尖，基部有不明显的距，被疏微柔毛；花瓣5，狭披针形，长4.5-5毫米，宽1毫米，先端有短尖，基部稍狭；雄蕊10，较花瓣短，对瓣的着生基部上1毫米处；鳞片5，小，正方状匙形，长0.3毫米；心皮直立，长3-3.5毫米，基部1毫米处合生，无毛；,NA,NA,NA,浙江龙泉（模式地）及福建；,NA,NA,NA,NA,花茎直立，被疏柔毛，长5-6厘米，分枝，小枝极叉开；
Sedum lutzii,Sedum lutzii Hamet,康定景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum lutzii var. lutzii,,Sedum lutzii var. lutzii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum lutzii var. viridiflavum,Sedum lutzii var. viridiflavum K.T.Fu,黄绿景天,NA,NA,NA,NA,NA,萼片黄绿色，连同花瓣均较原变种长；内轮雄蕊生于距花瓣基部2.2-3毫米处；心皮有多数胚珠；,NA,NA,四川西部（道孚、金川）；,NA,NA,山脊路旁岩石上；,4200-4300m；,NA
Sedum magniflorum,Sedum magniflorum K. T. Fu,大花景天,一年生草本，无毛，丛生；,NA,NA,NA,叶狭长圆形，长6-8毫米，宽1.6-1.8毫米，有宽和截形距，先端钝，有3-5脉，侧脉未达边缘即汇合；,花茎直立，高7-8厘米，不分枝；,NA,种子倒卵状披针形，有翅；,云南西北部；,NA,NA,冷杉林下岩石上；,3800m；,花期8月，果期9月；
Sedum majus,Sedum majus (Hemsley) Migo,山飘风,小草本；,高10厘米；,NA,NA,4叶轮生，叶圆形或卵圆形，1对大的长宽各4厘米，小的1对常稍小，先端圆或钝，基部骤窄，下延成叶柄，或近无柄，全缘；,伞房状花序，花序梗长1.5-3厘米；花梗长3-5毫米；萼片5，近正三角形，长0.5毫米；花瓣5，白色，长圆状披针形，长3-4毫米，宽1-1.2毫米；雄蕊长3毫米；鳞片5，长方形，长0.8毫米；心皮5，椭圆状披针形或长圆形，长3-4毫米，直立，无毛，基部1毫米合生；,NA,种子少数；,西藏、云南、四川、湖北、陕西；四川、云南、湖北、陕西；,NA,NA,山坡林下石上；,1000-4300m；,花期7-10月；
Sedum makinoi,Sedum makinoi Maxim.,圆叶景天,多年生草本；,高15-25厘米；,茎下部节上生根，上部直立，无毛；,NA,叶对生，倒卵形至倒卵状匙形，长17-20毫米，宽6-8毫米，先端钝圆，基部渐狭，入于假叶柄，基部有短距；,聚伞状花序，宽8-18厘米，花枝二歧分枝；苞片与叶同形而小；花无梗；萼片5，线状匙形，长2-3毫米，宽0.7-0.8毫米，钝，基部有短距；花瓣5，黄色，披针形，长4.5毫米，宽1.2毫米，钝渐尖；雄蕊10，对瓣的较花瓣为短，对萼的与花瓣稍同长；鳞片5，长方状匙形，长0.6毫米，心皮5，披针形，长5毫米，基部1毫米合生，花柱长1毫米；,蓇葖斜展，种子细小，卵形，有微乳头状突起；,NA,安徽黄山及渐江四明山；,日本；,NA,低山山谷林下阴湿处；,NA,花期6-7月；
Sedum microsepalum,Sedum microsepalum Hayata,小萼佛甲草,草本，无毛；茎基部匍匐生根或外倾的，节上生根，直立，上部直立，先端疏松分枝；,高7-10厘米；,茎基部匍匐，节上生根，上部上升的；,NA,叶互生，匙形，长22毫米，宽5毫米，先端钝，基部渐狭，无毛，有短距；,聚伞花序，分枝极叉开的；苞片披针状线形，长1.5毫米，先端钝；萼片5，线形，不等长，最长1片长4毫米，其余的长2毫米，宽0.5毫米，先端钝；花瓣5，线状披针形，长6毫米，宽2毫米，先端有短尖，背面有龙骨状突起；雄蕊10，长4毫米；鳞片5，长宽各0.3-0.4毫米，先端有微缺；心皮5，基部2毫米合生，全长4.5毫米，花柱长1.5-2毫米在内；,NA,NA,台湾中部山地；,NA,我国特有；,树干上；,1800-3000m；,花期8-10月，果期10月；
Sedum morrisonense,Sedum morrisonense Hayata,玉山佛甲草,多年生草本，直立；,高8-10厘米；,NA,NA,叶覆瓦状密生，肉质，长圆状披针形，长6毫米，宽1.5毫米，先端钝，基部有短距；,聚伞花序常有3条分枝，花多数；苞片与叶相似，较花短；花无梗；萼片5，长圆状线形，长为花瓣之半，厚；花瓣5，长圆形，长4-6.5毫米，宽1.2毫米，先端钝，背面稍呈龙骨状；雄蕊10，较花瓣稍短或稍同长；鳞片小，稍呈横长方形；,蓇葖5，长圆形，长6毫米，直立展开；种子长圆形，小，被微乳头状突起；,NA,台湾嘉义玉山（模式地）、宜兰、南投、台中；,NA,NA,处山地；,2500-3950m；,花茎基部分枝，无毛；
Sedum multicaule,Sedum multicaule Wall.,多茎景天,多年生草本；,高达20厘米；,茎下部分枝，高达15厘米，无毛；,NA,叶互生，沲瓦状排列，线形或窄长圆形，长1-1.5厘米，先端渐尖，有细尖头，基部有短距；,聚伞花序有数个蝎尾状分枝，分枝中央有1花；花无梗；萼片5，线形或线状披针形，不等长，长5-6.5毫米，先端渐尖，有细尖头，基部无距；花瓣5，黄色，长圆状卵形，长5-6毫米，先端有长尖头；雄蕊10，稍短于花瓣；鳞片5，细小，匙状四方形，先端微缺；心皮5，幼时近直立，果时横展；,蓇葖果长4-6毫米；,种子卵圆形；,产西藏；,巴基斯坦、印度、锡金、不丹、缅甸；,NA,山坡林下石上；,1300-3500m；,花期7-8月，果期8-9月；
Sedum multicaule subsp. multicaule,,Sedum multicaule subsp. multicaule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum multicaule subsp. rugosum,Sedum multicaule subsp. rugosum K. T. Fu,皱茎景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum muyaicum,Sedum muyaicum K. T. Fu,木雅景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum nanchuanense,Sedum nanchuanense K. T. Fu & G. Y. Rao,金佛山景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum nokoense,Sedum nokoense Yamamoto,能高佛甲草,草本；,NA,茎高9-19厘米，基部斜倚的，节上生根，上部分枝；,NA,叶互生，匙形，长6-10毫米，宽3-5毫米，先端钝，基部圆，全缘；,聚伞花序，聚伞花数次分枝；花无梗；萼片5，倒披针形至近匙形或线状披针形，长3毫米，宽1毫米，先端钝，基部稍狭；花瓣5，线状披针形，长5毫米，宽1.5毫米，先端近渐尖，中央有1脉；雄蕊10，花丝长4毫米，花药长0.8毫米；鳞片5，横宽，有微缺；心皮5，长圆形，长2毫米，宽1.5毫米，花柱短，下部合生，上部叉开的；,蓇葖星芒状排列，种子多数；种子长圆形，长0.8毫米，宽0.3毫米，棕黄色，有微乳头状突起；,NA,台湾宜兰、台中、花莲港；,NA,NA,山地石上；,3000-3500m；,果期8月；
Sedum nothodugueyi,Sedum nothodugueyi K. T. Fu,距萼景天,多年生草本，无毛；,高3-6厘米，有不育茎；,根状茎直立，粗壮，长4-6厘米；,NA,叶狭三角状披针形或狭三角状线形，长2-6毫米，宽0.7-1毫米，先端渐尖，基部有宽而钝和3浅裂的距；,花4-10，帚状丛生，密生叶；,NA,NA,四川西部；,NA,NA,岩石上；,2250m；,花期9-10月；
Sedum obtrullatum,Sedum obtrullatum K. T. Fu,铲瓣景天,一年生或二年生草本；,无毛；,无不育茎；,NA,叶卵状披针形，长4-5毫米，有短距，先端渐尖，生于下部的密集，中上部的稍疏；,花茎直立，高达8厘米；,NA,种子倒卵圆形，有乳头状凸起；,西藏东部（察隅）、云南西北部（德钦）；,NA,特产；,山坡及河边上；,1400-3300m；,花期7-8月，果期8-9月；
Sedum obtusipetalum,Sedum obtusipetalum Franch.,钝瓣景天,二年生草本；,无毛；,NA,NA,叶宽披针形或长圆状披针形，长0.6-1厘米，有截形距；基生叶密，宿存；,花序高达15厘米，分枝；,NA,种子倒卵形，有小乳头状凸起；,四川西部（义敦）、云南西北部（丽江、中甸、德钦）；,NA,NA,湿地或山谷岩石上；,2000-3700m；,花期8-10月，果期9-11月；
Sedum oligocarpum,Sedum oligocarpum Fr?d.,少果景天,一年生草本，无毛；,高约1厘米；,茎中部和上部叶卵形或近圆形，长1-1.5毫米，有宽或微缺的距，先端钝；,NA,NA,花序小，有少数花，苞片通常2，近对生，披针形，长1.5-2毫米，先端有细尖；花为五基数，有短柄；萼片5，近卵形，长1.5-2毫米，无距，先端近尖；花瓣5，长圆形，长2毫米，先端有突尖头，基部宽，干后变黄色；雄蕊5，长1.5毫米，基部扩张，花药近卵状肾形，长0.5毫米；鳞片狭线形，长约1毫米，先端略扩张；心皮3，长约1.5毫米，近略叉开，先端有长花柱；,蓇葖有种子1-2，胎座具一般的韧带；,种子披针形，长1.5毫米，两侧有翅，光滑；,四川西部；,NA,NA,岩石上；,4400-4600m；,花果期8月；
Sedum oligospermum,Sedum oligospermum Maire,大苞景天,一年生草本；,NA,茎高达50厘米；,NA,叶互生，上部为3叶轮生，下部叶常脱落，叶菱状椭圆形，长3-6厘米，两端渐窄，常聚生花序下，叶柄长达1厘米；,聚伞花序常三歧分枝，每枝有1-4花，苞片圆形；花无梗；萼片5，宽三角形，长0.5-0.7毫米，先端钝；花瓣5，黄色，长圆形，长5-6毫米，先端尖，中脉不显；雄蕊10或5，较花瓣稍短：鳞片5，近长方形或长圆状匙形，长0.7-0.8亳米；心皮5，略叉开，基部2毫米合生，长5毫米，花柱长；,蓇葖果有种子1-2；,种子纺锤形，长2-3毫米，有微乳头状凸起；,四川南川至冕宁、天全等地；,NA,NA,处山坡石上成林中；,1800-2650m；,花期6-9月，果期8-11月；
Sedum onychopetalum,Sedum onychopetalum Fr?d.,爪瓣景天,多年生草本；,NA,NA,不育枝细，近直立，高2-4厘米，密生叶，叶对生或轮生；,3-4叶轮生，宽线形或披针形，长6-11毫米，宽1-1.5毫米，先端钝，基部有短距；,花茎数个丛生，近直立，高5-12厘米；,蓇葖种子多数；种子近卵形，长0.5毫米，被微乳头状突起；,NA,江苏南京、苏州及安徽黄山；,NA,NA,阴湿石上；,NA,花期4-5月，果期5-6月；
Sedum oreades,Sedum oreades (Decne.) Hamet,山景天,一年生草本；,不分枝或基部分枝呈丛生状，高达12厘米；,NA,NA,叶披针形或宽长圆形，长3-9毫米，全缘，先端短渐尖，基部有纯形或3裂的距，脉数条，互生；,花单生或数朵组成伞房状花序；花5基数；几无花梗；萼片长圆形或倒卵状披针形，长7-7.5毫米，全缘或细啮蚀状，基部有距；花瓣黄色，倒卵形或倒卵状披针形，长6-9.8(-12)毫米，先端短尖，下部窄或近爪状，前缘细啮蚀状，基部合生1.2-1.5(-3)毫米；雄蕊10，2轮，外轮的长2.5-3.5毫米，内轮的生于距花瓣基部1-1.5(-3)毫米处，长2.5-3.5毫米；鳞片近线状匙形；心皮披针形，直立，长5-7.5毫米，基部合生0.3-0.5毫米，胚珠多数；,NA,种子具细乳头状凸起；,云南西北部（维西、贡山、中甸、德钦）、西藏东南部（错那、波密、察隅）；,锡金、不丹、克什米尔地区均；,NA,山坡草地或岩石上；,3000-4400m；,花期7-8月，果期9-10月；
Sedum pagetodes,Sedum pagetodes Fr?d.,寒地景天,一年生草本，无毛；,NA,NA,NA,叶宽线形或长圆形，长2.5-4.8毫米，有截形宽距，先端钝；,花茎直立或上升，高2-4厘米，自基部分枝；,NA,种子倒卵状长圆形，长0.9-1.2毫米，有乳头突起；,四川西部（康定、道孚）及青海南部（杂多）；,NA,NA,山坡草地上；,3700-4600m；,花期8-9月，果期9月；
Sedum pampaninii,Sedum pampaninii Raymond-Hamet,秦岭景天,多年生草本，无毛；,NA,不育茎高2-3厘米；花茎丛生，上升，分枝，高5-10厘米；,NA,叶线形，长4-7毫米，宽0.5-0.8毫米，先端尖，全缘，基部有距，距截形或钝状；,花序伞房状，有数花；苞片叶形；花为不等的五基数；花梗纤细，长4-6毫米；萼片披针形，长4-6毫米，宽约1.2毫米，先端尖，基部有短距；花瓣黄色，披针形，长6-10毫米，宽约1.8毫米，先端近渐尖而有突尖头，基部合生约1.2毫米；雄蕊10， 2轮，外轮的长5.5-7.5毫米，内轮的生于距花瓣基部2.5-3毫米处，长3-4.5毫米；鳞片长方状匙形，长0.7-0.8毫米，先端钝或微凹；心皮长圆形，长5-8毫米，有胚珠4-9，基部合生2-3毫米；,NA,种子卵形，长约1毫米，有乳头状突起；,河南西部（卢氏）、陕西南部（太白山、光头山）、四川、云南；,NA,NA,山坡林下或山谷岩石上；,NA,花期8-9月，果期10月；
Sedum parvisepalum,Sedum parvisepalum Yamamoto,尖萼佛甲草,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum perrotii,Sedum perrotii Hamet,甘肃景天,一年生草本，无毛；,NA,NA,NA,叶线状倒卵形或线状披针形，长4-8毫米，有短钝距，先端近尖或微钝；,花茎直立，高2-6厘米，基部分枝；,NA,种子卵形，长1.2毫米，有乳头状突起，具长珠柄；,四川北部（松潘）、青海东南部（班玛）、甘肃西南部；,NA,NA,高山阳坡草地上；,4000-4300m；,花期7月，果期8月；
Sedum phyllanthum,Sedum phyllanthum Lévl. et Vant.,叶花景天,植株有多数茎而铺散，茎斜升；,NA,茎稍强劲，基部生根，斜上，高达6厘米；,NA,叶线形，近圆柱形；,聚伞花序，花黄色；苞片长，萼片5，伸长；花瓣有短尖头；雄蕊10，伸出，花药带黑色；,NA,NA,贵州平坝，生石上；,NA,NA,处山坡阴湿处；,450-750m；,花期7月；
Sedum piloshanense,Sedum piloshanense Frod.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum planifolium,Sedum planifolium K. T. Fu,平叶景天,多年生草本，无毛；,NA,NA,不育枝上升，长达10厘米；茎拱形上升，长6-15厘米，下部分枝，常肉红色，有密生的叶；,叶互生，覆瓦状，线状倒披针形，扁平，长8-22毫米，宽2-3.5毫米，先端钝，基部有截形或圆形的宽距，上部边缘有微乳头状突起；,伞房状花序蝎尾状，3歧分枝；花多数，有短花梗；萼片5，不等长，线状披针形，长2.8-3.8毫米，宽0.8-0.9毫米，先端钝，基部无距，边缘上部有微乳头状突起；花瓣5，黄色，长圆状披针形，长7.5-7.8毫米，宽1.5-1.8毫米，先端渐尖，有短尖，基部几分离；雄蕊10，较花瓣短，对瓣的着生基部上0.5毫米处，鳞片5，半圆形或半长圆形，长0.3-0.5毫米，宽0.5毫米，上部圆形或先端有微缺；心皮5，卵状披针形，开展，长5毫米，腹面隆起，基部1毫米合生，含胚珠10-12；,蓇葖星芒状排列，几成水平状；种子倒卵状长圆形，长0.7毫米，暗褐色，密被微乳头状突起；,NA,陕西、甘肃；,NA,NA,山谷滩地和山坡石上；,1000-1603m；,花期6-7月，果期8月；
Sedum platysepalum,Sedum platysepalum Franch.,宽萼景天,一年生或二年生草本，无毛；,NA,NA,NA,叶线形至线状披针形，长6-10毫米，有宽距，先端尖；,花序密伞房状，有多数花；花为不等的五基数；花梗长6-10毫米；萼片长圆形，长5-8.5毫米，宽1.5-2.5毫米，有距，先端渐尖，脉上有锈色斑点；花瓣黄色，线状披针形，长6.5-7.5毫米，宽2.4-2.8毫米，先端有短突尖头，基部稍狭而合生0.8-1.3毫米；雄蕊10， 2轮，外轮的长5-6.5毫米，内轮的生于距花瓣基部2-3.5毫米处，长2.5-3.5毫米；鳞片线形，长0.7-1毫米，上部微扩张；,NA,种子倒卵形，长约0.8毫米，有乳头状突起；,四川西南部（木里）、云南西北部（大理、中甸）；,NA,NA,高山顶部岩石上；,3200-4000m；,花茎自基部多分枝，长6-10厘米，近密生叶；
Sedum plumbizincicola,Sedum plumbizincicola X. H. Guo & S. B. Zhou ex L. H. Wu,伴矿景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum polytrichoides,Sedum polytrichoides Hemsl.,藓状景天,多年生草本；,NA,茎稍木质，细弱，丛生，斜上，高达10米；有多数不育枝；,NA,叶互生，线形或线状披针形，长0.5-1.5厘米，先端尖，基部有距，全缘；,花序聚伞状，有2-4分枝；花少数；花梗短；萼片5，卵形，长1.5-2毫米，基部无距；花瓣5，黄色，窄披针形，长5-6毫米，先端渐尖；雄蕊10，稍短于花瓣；鳞片5，细小，宽圆楔形，基部稍窄：心皮5，稍直立；,蓇葖果星芒状叉开，基部1.5毫米合生，腹面有浅囊状凸起，卵状长圆形，长4.5-5毫米，喙直立，长1.5毫米；,种子长圆形，长不及1毫米；,江西、安徽、浙江、陕西、河南、山东、辽宁、吉林、黑龙江；,NA,NA,山坡石上；,1000m；,花期7-8月，果期8-9月；
Sedum prasinopetalum,Sedum prasinopetalum Fr?d.,绿瓣景天,一年生草本，无毛；,NA,NA,NA,叶狭长圆形或宽披针形，长3-5毫米，有钝或近浅裂的距，先端钝或略尖；,花茎直立或上升，不分枝或分枝，高3-7厘米；,NA,种子倒卵形，长0.5-0.7毫米，表面有小乳头状突起，基部具胃状附属物，有长珠柄；,四川西部（康定、道孚）及青海东南部（久治）；,NA,NA,高山草地或岩石上；,4300-4500m；,花期8-9月，果期9-10月；
Sedum pratoalpinum,Sedum pratoalpinum Fr?d.,牧山景天,一年生草本，无毛；,NA,NA,NA,叶长圆形，长3-5毫米，有宽钝距，先端钝；,花茎直立，高2-4厘米，自近基部分枝；,NA,种子近倒卵形，长1毫米，有乳头状突起；,四川西部（巴丹）、青海南部（治多）；,NA,NA,高山草地或山顶裸露地；,4300-4600m；,花果期8-9月；
Sedum przewalskii,Sedum przewalskii Maxim.,高原景天,一年生草本，无毛；,NA,NA,NA,叶宽披针形至卵形，长2-4.8毫米，有截形宽距，先端钝；,花茎直立，高1-4厘米，常自基部分枝；,NA,种子卵状长圆形，长约0.8毫米，有小乳头状突起；,甘肃（大通河）、青海（杂多、久治、兴海、循化、大通）、四川（理塘、康定、义敦、道孚、甘孜）、云南（德钦）、西藏（错那、察隅、朗县、达孜、拉萨、安多）；,NA,NA,高山坡干草地或岩石上；,2400-5400m；,花期8月，果期9月；
Sedum purdomii,Sedum purdomii W. W. Sm.,裂鳞景天,一年生草本，无毛；,NA,NA,NA,叶线状长圆形或长圆形，长4-5毫米，有截形短距，先端钝；,花茎直立，高4.5-5.5厘米，基部分枝或不分枝；,NA,种子下部有狭翅，具高乳头状突起；,甘肃文县碧口；,NA,NA,高山砾石地上；,3700-4000m；,花期8月；
Sedum ramentaceum,Sedum ramentaceum K. T. Fu,糠秕景天,一年生草本，无毛；,NA,NA,NA,叶淡黄绿色，最上部的线状长圆形或倒披针状长圆形，长3.5-5.5毫米，有宽距，先端钝或近尖；,花茎直立，高0.8-1.2厘米，不分枝或基部少分枝，下部叶早落；,NA,种子长圆形，长1-1.1毫米，有糠粃状突起；基部有胃状附属物，具长珠柄；,四川西部；,NA,NA,高山梁路上；,4500m；,花期7月，果期8月；
Sedum raymondii,Sedum raymondii Fr?d.,膨果景天,一年生草本，无毛；,NA,NA,NA,叶密，宽倒披针形至近倒卵形，长4-9毫米，有宽钝距，先端略尖；,花茎直立，高10-25毫米，较粗壮，不分枝或基部分枝；,NA,种子卵状长圆形，长0.8-1毫米，有乳头状突起；,云南西北部（维西、中甸、德钦）；,NA,NA,山坡或路边岩石上；,3200-4300m；,花期7月，果期8月；
Sedum roborowskii,Sedum roborowskii Maxim.,阔叶景天,二年生草本；,无毛；,NA,NA,叶长圆形，长0.5-1.3厘米，有钝距；,花茎高达15厘米，基部分枝；花序伞房状(近蝎尾状聚伞花序)，疏生多花；苞片叶状；花梗长达3.5毫米；萼片长圆形或长圆状倒卵形，不等长，长3-5毫米，有钝距；花瓣淡黄色，卵状披针形，长3.5-3.8毫米，离生，先端钝：外轮雄蕊长约2.7毫米，内轮生于距花瓣基部约0.7毫米，长约2毫米：鳞片线状长方形，先端微缺；心皮长圆形，长约6毫米，基部合生约0.7毫米，胚珠12-15；,NA,种子卵状长圆形，有小乳头状凸起；,宁夏中部（阿旗）、甘肃中部（张掖）、和西南部（卓尼、夏河）、青海南部（囊谦、杂多）、东部（兴海、同仁、循化、都兰、乌兰、门源、祁连）、西至柴达木、西藏南部（昂仁、拉孜、日喀则、南木林）、和东部（浪卡子、拉萨、郎县、墨竹工卡、类乌齐）；,NA,NA,山坡林下阴处或岩石上；也见于冲积滩地；,2200-4500m；,花茎高达15厘米，基部分枝；
Sedum rosthornianum,Sedum rosthornianum Diels,南川景天,多年生草本？植株无毛；,NA,NA,NA,叶对生，或3-4叶轮生，叶菱状长圆形，长2-3.3厘米，宽8-12毫米，先端近急尖，基部急狭，入于长4-6毫米的宽假叶柄，边缘有浅锯齿4-8；,花茎不分枝，直立，高15-25厘米；,NA,种子多数，卵形，长0.6毫米；,四川南川、巫山至城口；,NA,我国特有；,山坡草地上；,1500m；,花期6月；
Sedum sagittipetalum,Sedum sagittipetalum Fr?d.,箭瓣景天,多年生草本，丛生，无毛；,NA,不育茎丛生，长0.5-1厘米；叶密集，宽倒披针形，长2-4毫米，有钝短距，先端渐尖，干后亮绿或淡灰白色；,NA,NA,花序有1或2花；苞片2，叶状；花为不等的五至七基数；萼片倒披针形或长圆形，长4-4.5毫米，无距，先端长渐尖；花瓣长6-6.5毫米，爪狭几达中部，离生，瓣片近卵形，中部以上渐狭，有长细尖头，干后黄色；雄蕊2轮，内轮的生于距花瓣基部2-2.5毫米处，外轮的长约4毫米；鳞片上部扩张，微缺，长1-0.7毫米，宽0.4-0.5毫米；,NA,种子卵圆形，长约1毫米，两侧有翅，光秃？花期8月，果期9月；,四川西部；,NA,NA,冰谷悬崖上；,4300-4500m；,花茎直立，长1-2厘米；叶覆瓦状排列，长4-6毫米，有钝或浅裂距，先端长渐尖；
Sedum sarmentosum,Sedum sarmentosum Bunge,垂盆草,多年生草本；,NA,NA,NA,3叶轮生，叶倒披针形或长圆形，基部骤窄，有距；,不育枝及花茎细，匍匐，节上生根，直到花序之；,NA,种子卵圆形；,产黔、川、华中、华东、陕甘、华北及东北南部，朝鲜、日本也有；,朝鲜、日本；,NA,山坡阳处或石上；,1600m；,花期5-7月，果期8月；
Sedum sekiteiense,Sedum sekiteiense Yamamoto,石碇佛甲草,草本；,NA,茎无毛，基部匍匐或外倾的，节上生根，上部上升或近直立，高6-18厘米，上部叶近生，枝顶二歧分枝；,NA,叶互生，长匙形，长1-2.5厘米，宽4-6毫米，先端钝或稍钝，基部渐狭，入于假柄，无毛，全缘；,聚伞花序；花无梗；萼片5，稀4，匙形或线状倒披针形，不等长，长2.8-4毫米，宽1-2毫米，先端钝，基部渐狭，截形；花瓣4-5，不等长，线状披针形，中央有1脉，无毛；雄蕊8-10，对瓣的着生基部稍上处，花丝长3毫米，花药长圆形；鳞片4-5，横宽，有微缺；心皮4-5，基部合生，上部分离，先端有长1毫米的花柱；,成熟心皮4-5，星芒状开展，直径7毫米，蓇葖长5毫米，种子多数；种子长圆形，长0.6毫米，被微乳头状突起，褐色；,NA,台湾台北、宜兰、台东兰屿；,NA,特产；,NA,NA,花期5月，果期11月；
Sedum semilunatum,Sedum semilunatum K. T. Fu,月座景天,一年生草本，无毛；,NA,NA,NA,叶宽倒披针形或近倒卵形，长3.2-3.5毫米，有宽距，先端钝，具棕色斑点；,花茎直立，高1-1.8厘米，不分枝或基部2-3枝；,NA,种子狭倒卵形，长约1毫米，平滑；,云南；,NA,NA,NA,NA,花期8月，果期9月；
Sedum shigatsense,Sedum shigatsense Fr<U+00F6>d.,西藏景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum shitaiense,Sedum shitaiense Y. Zheng et D. C. Zhang,石台景天,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum sinoglaciale,Sedum sinoglaciale K. T. Fu,冰川景天,一年生草本，无毛；,NA,NA,NA,叶线形或线状长圆形，长4-7毫米，有距，先端近钝；,花茎直立或上升，高1.5-3厘米，自基部分枝；,NA,种子长圆形，长约1毫米，有乳头状突起；,云南西北部（丽江、中甸）；,NA,NA,山坡或山麓；,3000-4700m；,花期8月，果期9月；
Sedum somenii,Sedum somenii Hamet,邓川景天,一年生草本，无毛，无不育茎；,NA,NA,NA,叶倒卵状长圆形或近长圆形，长3.5-7毫米，宽2.6-8.5毫米，先端极钝，前缘有乳头状突起，有短钝距；,花茎近直立或上升，高12-23厘米，上部分枝；,NA,种子倒卵状长圆形，长0.5-0.6毫米，有乳头状突起；,云南西北部；,NA,NA,NA,2500m；,花果期8-10月；
Sedum stellariifolium,Sedum stellariifolium Franch.,繁缕景天,一年生或二年生草本；,植株被腺毛；,茎直立，有多数斜上的分枝，基部呈木质，高10-15厘米，褐色，被腺毛；,NA,叶互生，三角形或三角状宽卵形，长0.7-1.5厘米，宽7-9毫米，先端尖，基部宽楔形或平截，全缘；叶柄长4-8毫米；,总状聚伞花序；花顶生，花梗长5-10毫米，萼片5，披针形至长圆形，长1-2毫米，先端渐尖；花瓣5，黄色，披针状长圆形，长3-5毫米，先端渐尖；雄蕊10，较花瓣短；鳞片5，宽匙形至宽楔形，长0.3毫米，先端有微缺；心皮5，近直立，长圆形，长约4毫米，花柱短；,蓇葖下部合生，上部略叉开；种子长圆状卵形，长0.3毫米，有纵纹，褐色；,NA,产云南西北部；,NA,NA,上坡或山谷土上或石缝中；,400-3400m；,花期6-7月（湖北及以南）至7-8月（华北及西南高山），果期8-9月；
Sedum stimulosum,Sedum stimulosum K. T. Fu,刺毛景天,二年生草本？花茎直立或上升；,高6-10厘米，自基部分枝；,NA,NA,叶无柄，长圆形或倒卵状长圆形，长4-9.5毫米，宽1-2.5毫米，有宽和截形或略3裂的距，缘有繸状睫毛，先端有长突尖头，上面无毛，下面中部以上被刺状微硬毛；,花序伞房状，有较多数花，密集；苞片叶形；花为不等的五至六基数，近无花梗；萼片线状长圆形，长5.3-6毫米，宽1.3-2毫米，无距，缘有睫毛，先端有长突尖头，背面中部以上被刺状微硬毛；花瓣黄色，披针形，长约7.5毫米，宽约1.8毫米，先端有长突尖头（偶为2），基部离生，背面龙骨状突起，上部有刺毛；雄蕊10， 2轮，外轮的长约5毫米，内轮的生于距花瓣基部约2毫米处；鳞片匙形，长约0.8毫米，先端微凹陷；心皮直立，长约6毫米，宽约1.2毫米，前缘有微硬毛，基部合生0.8毫米，有长花柱，含胚珠4-6；,NA,种子长圆形，有附属物，共长0.9毫米；,四川西部；,NA,NA,山谷岩石上；,1500-2600m；,花期9-10月，果期10-11月；
